attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
,article-4-direction,,,,local-authority-eng:EST,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:EXE,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:FAR,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:FEN,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:FOE,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:FOR,article-4-direction,2021-08-31T16:13:35.530Z,,2019-03-31
,article-4-direction,,,,local-authority-eng:FYL,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:GAT,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:GED,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:GLA,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:GLO,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:GOS,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:GRA,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:GRE,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:GRT,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:GRY,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:HAA,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:HAE,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:HAG,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:HAL,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:HAO,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:HAR,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:HAS,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:HAT,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:HAV,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:HCK,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:HEF,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:HER,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:HIG,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:HIL,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:HIN,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:HMF,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:HNS,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:HOR,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:HPL,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:HRW,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:HRY,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:HUN,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:HYN,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:IOS,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:IOW,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:IPS,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:ISL,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:KEC,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:KET,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:KHL,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:KIN,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:KIR,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:KTT,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:KWL,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:LAC,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:LCE,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:LDS,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:LEE,article-4-direction,2021-08-31T16:13:35.531Z,,
,article-4-direction,,,,local-authority-eng:LEW,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:LIC,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:LIF,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:LIV,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:LND,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:LUT,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MAI,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MAL,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MAN,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MAS,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MAV,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MDB,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MDE,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MDW,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MEL,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MEN,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MIK,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MOL,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MRT,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MSS,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:MSU,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NBL,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NDE,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NDO,article-4-direction,2021-08-31T16:13:35.532Z,,2019-03-31
,article-4-direction,,,,local-authority-eng:NEA,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NEC,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NED,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NEL,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NET,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NEW,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NGM,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NHE,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NKE,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NLN,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NNO,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NNUA,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NOR,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NOW,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NSM,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NTY,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NUN,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NWA,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NWL,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:NWM,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:OAD,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:OLD,article-4-direction,2021-08-31T16:13:35.532Z,,
,article-4-direction,,,,local-authority-eng:OXO,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:PEN,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:PLY,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:POL,article-4-direction,2021-08-31T16:13:35.533Z,,2019-03-31
,article-4-direction,,,,local-authority-eng:POR,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:PRE,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:PTE,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:PUR,article-4-direction,2021-08-31T16:13:35.533Z,,2019-03-31
,article-4-direction,,,,local-authority-eng:RCC,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:RCH,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:RDB,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:RDG,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:RED,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:REI,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:RIB,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:RIC,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:RIH,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:ROC,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:ROH,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:ROS,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:ROT,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:RUG,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:RUH,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:RUN,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:RUS,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:RUT,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:RYE,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SAL,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SAW,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SBU,article-4-direction,2021-08-31T16:13:35.533Z,,2020-03-31
,article-4-direction,,,,local-authority-eng:SCA,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SCE,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SDE,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SED,article-4-direction,2021-08-31T16:13:35.533Z,,2019-03-31
,article-4-direction,,,,local-authority-eng:SEG,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SEL,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SEV,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SFT,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SGC,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SHA,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SHE,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SHF,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SHN,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SHO,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SHR,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SKE,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SKP,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SLA,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SLF,article-4-direction,2021-08-31T16:13:35.533Z,,
,article-4-direction,,,,local-authority-eng:SLG,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:SND,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:SNO,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:SNR,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:SOL,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:SOS,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:SOX,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:SPE,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:SRI,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:SSO,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:SST,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:STA,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:STE,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:STF,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:STH,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:STN,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:STO,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:STR,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:STT,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:STV,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:STY,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:SUF,article-4-direction,2021-08-31T16:13:35.534Z,,2019-03-31
,article-4-direction,,,,local-authority-eng:SUR,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:SWD,article-4-direction,2021-08-31T16:13:35.534Z,,
,article-4-direction,,,,local-authority-eng:SWL,article-4-direction,2021-08-31T16:13:35.534Z,,
